quarter,ticker,name,weight,value_usd,emp_symbol,total_employees,emp_pct_change,price_return
2023_Q1,LUV,Southwest Airlines Co,11.5431903491,210415224.24,LUV,70599.0,4.699688565920224,-3.356103356103368
2023_Q1,UAL,United Airlines Holdings Inc,9.7038224239,176886277.5,UAL,95472.0,3.9490445859872603,17.374005305039788
2023_Q1,JBLU,JetBlue Airways Corp,3.868049195,70508794.72,JBLU,23374.0,1.7145343777197564,12.345679012345666
2022_Q4,ALK,Alaska Air Group Inc,3.0479165399,60227128.72,ALK,19549.0,0.5865706200154364,9.68071519795657
2022_Q4,ALGT,Allegiant Travel Co,2.9228432997,57755669.27,ALGT,5630.0,-0.15960276644795268,-6.837489723211854
2022_Q4,AAL,American Airlines Group Inc,10.7578964454,212577085.2,AA,103843.0,0.11086688261607858,35.08615567439097
2022_Q4,DAL,Delta Air Lines Inc,11.0905992421,219151324.98,DAL,93176.0,-0.8006132356698781,17.10620099786173
2022_Q4,ULCC,Frontier Group Holdings Inc,2.6027242449,51430085.46,ULCC,6470.0,5.288852725793336,5.876288659793816
2022_Q4,JBLU,JetBlue Airways Corp,2.6482389418,52329460.32,JBLU,22980.0,-0.36420395421435936,-2.262443438914019
2022_Q4,SKYW,SkyWest Inc,2.9148411222,57597545.46,SKYW,13582.0,-1.4511681903932705,1.5375153751537418
2022_Q4,LUV,Southwest Airlines Co,10.2794717217,203123365.9,LUV,67430.0,3.7256952990401215,9.176394293125822
2022_Q4,UAL,United Airlines Holdings Inc,9.9745922429,197098917.6,UAL,91845.0,3.261602806260111,15.893021826006759
2022_Q3,DAL,Delta Air Lines Inc,10.4245927618,197461306.6,DAL,93928.0,1.896289867650247,-3.1411805315843977
2022_Q3,LUV,Southwest Airlines Co,9.7306879229,184317449.64,LUV,65008.0,3.1103779719891422,-14.617940199335544
2022_Q3,UAL,United Airlines Holdings Inc,10.3029860128,195157847.07,UAL,88944.0,3.379980473290245,-8.159232072275547
2022_Q3,ULCC,Frontier Group Holdings Inc,2.6356714095,49924551.7,ULCC,6145.0,7.261302146971538,3.521878335112061
2022_Q3,JBLU,JetBlue Airways Corp,2.931584738,55529704.23,JBLU,23064.0,0.9718938796952958,-20.78853046594982
2022_Q3,SKYW,SkyWest Inc,2.6769889868,50707183.98,SKYW,13782.0,-1.4586014586014606,-23.482352941176465
2022_Q3,ALK,Alaska Air Group Inc,3.0372953072,57532060.35,ALK,19435.0,2.7654399323181034,-2.2471910112359494
2022_Q3,ALGT,Allegiant Travel Co,2.5870778947,49004099.54,ALGT,5639.0,1.6036036036036094,-35.467326907772566
2022_Q3,AAL,American Airlines Group Inc,10.5451850572,199745550.48,AA,103728.0,0.166093707752335,-26.151820974111462
2022_Q2,ALK,Alaska Air Group Inc,2.9379264183,72075221.55,ALK,18912.0,6.720839681733537,-30.960179279434584
2022_Q2,ALGT,Allegiant Travel Co,2.7473529846,67399943.65,ALGT,5550.0,11.423408954025295,-30.35901225444916
2022_Q2,AAL,American Airlines Group Inc,9.2335709527,226524281.88,AA,103556.0,2.013555047679083,-49.37243141175164
2022_Q2,DAL,Delta Air Lines Inc,8.8802865866,217857268.03,DAL,92180.0,7.468463636999556,-26.787970684862273
2022_Q2,ULCC,Frontier Group Holdings Inc,3.2968142576,80879703.64,ULCC,5729.0,2.94699011680144,-17.299205648720218
2022_Q2,JBLU,JetBlue Airways Corp,2.8659237787,70308803.52,JBLU,22842.0,3.983247598670725,-44.013377926421406
2022_Q2,SKYW,SkyWest Inc,2.8636183433,70252245.0,SKYW,13986.0,-5.269574641018693,-26.343154246100518
2022_Q2,LUV,Southwest Airlines Co,9.8469498658,241572113.16,LUV,63047.0,6.034410265897505,-21.135371179039296
2022_Q2,UAL,United Airlines Holdings Inc,9.3444599414,229244686.44,UAL,86036.0,5.019286167667603,-23.597929249352887
2022_Q1,ALK,Alaska Air Group Inc,3.0207421268,104984525.66,ALK,17721.0,3.9111058989093506,11.343570057581577
2022_Q1,ALGT,Allegiant Travel Co,2.8823093432,100173356.91,ALGT,4981.0,5.821117484597416,-13.178999144568015
2022_Q1,AAL,American Airlines Group Inc,10.8961144151,378689525.75,AA,101512.0,3.709606563071488,51.10775427995973
2022_Q1,DAL,Delta Air Lines Inc,10.2371547255,355787679.93,DAL,85774.0,5.013528569154868,1.253838280450359
2022_Q1,JBLU,JetBlue Airways Corp,3.0038272652,104396657.3,JBLU,21967.0,6.223404255319154,4.985955056179758
2022_Q1,SKYW,SkyWest Inc,2.771434904,96319965.95,SKYW,14764.0,-2.900361723117395,-26.59033078880406
2022_Q1,LUV,Southwest Airlines Co,9.4394073645,328062331.4,LUV,59459.0,6.660567574355114,6.909430438842179
2022_Q1,UAL,United Airlines Holdings Inc,11.5922665151,402883976.96,UAL,81924.0,4.5749297932090816,5.893101873001361
2021_Q4,ALK,Alaska Air Group Inc,3.1028207502,100258791.3,ALK,17054.0,1.3008613008613112,-11.092150170648463
2021_Q4,ALGT,Allegiant Travel Co,3.0329727447,98001852.48,ALGT,4707.0,4.321808510638303,-4.317577245754045
2021_Q4,AAL,American Airlines Group Inc,10.0170002456,323670755.72,AA,97881.0,0.40106677607960606,21.740907233346963
2021_Q4,DAL,Delta Air Lines Inc,10.2596382942,331510911.32,DAL,81679.0,5.829230370562333,-8.284440272236571
2021_Q4,JBLU,JetBlue Airways Corp,3.0028505716,97028540.48,JBLU,20680.0,4.139389666633098,-6.867233485938518
2021_Q4,SKYW,SkyWest Inc,2.8718597446,92795946.0,SKYW,15205.0,-2.550791514452344,-20.3486015403324
2021_Q4,LUV,Southwest Airlines Co,9.4542534169,305487199.08,LUV,55746.0,1.9159749899447798,-16.702313824615977
2021_Q4,UAL,United Airlines Holdings Inc,10.0841899774,325841800.02,UAL,78340.0,7.848400996709759,-7.967206222409084
2021_Q3,ALK,Alaska Air Group Inc,2.9634398718,110413299.6,ALK,16835.0,0.3875968992248069,-2.8353506881114265
2021_Q3,ALGT,Allegiant Travel Co,2.9191550162,108763312.68,ALGT,4512.0,3.747988043228334,0.7628865979381283
2021_Q3,AAL,American Airlines Group Inc,10.0790307233,375529481.64,AA,97490.0,-1.2659509823779613,32.84473398479912
2021_Q3,DAL,Delta Air Lines Inc,10.1151177688,376874030.52,DAL,77180.0,8.281773924267299,-1.5025427646786826
2021_Q3,JBLU,JetBlue Airways Corp,2.9391618828,109508738.35,JBLU,19858.0,4.55430948244091,-8.879618593563777
2021_Q3,SKYW,SkyWest Inc,3.1208548569,116278344.5,SKYW,15603.0,6.840591618734604,14.557696772695628
2021_Q3,LUV,Southwest Airlines Co,10.1646192896,378718382.52,LUV,54698.0,-1.0760855804532232,-3.1267658692785916
2021_Q3,UAL,United Airlines Holdings Inc,9.799159195,365101890.65,UAL,72639.0,5.1276484890587115,-9.026582520558424
