symbol,name,lag,n_obs,coefficient,p_value,r_squared_pct,t_stat
SKYW,SkyWest,43,14,-2.5589579175857002,0.07081640920868401,24.668350880734202,-1.9823116995527055
ALK,Alaska,10,47,-2.6422550315629176,0.07182020622805556,7.023196743656291,-1.843683500679416
ALK,Alaska,48,9,4.062359519953459,0.07230800036911351,38.976790728377274,2.114484649817094
UAL,United,22,35,-2.5399023999572217,0.07457712587985992,9.317019002042793,-1.8413339748158195
ALK,Alaska,36,21,-3.1595816609338274,0.07573080929703915,15.664820203297014,-1.878603469870926
UPS,United Parcel Service,17,40,3.427460880818118,0.07636252300760425,8.032590989335109,1.8218081874222665
ALGT,Allegiant Air,34,23,-4.953218505815397,0.07700306513024896,14.13951536348328,-1.859645834596368
UPS,United Parcel Service,44,13,19.045783280204617,0.07989091192341077,25.28152933022154,1.9292300873141743
AA,American,24,33,4.977441182174223,0.08159090879889903,9.463151806038805,1.8000562004224225
ULCC,Frontier,21,33,-7.997468849329619,0.0860828425176192,9.205285772675264,-1.7728386105544136
ULCC,Frontier,15,39,7.0600522496713065,0.08670628745672351,7.723617091266133,1.7598106767470552
JBLU,JetBlue,29,28,5.93444157103329,0.08821259859499933,10.769285510340087,1.7714256715910768
UAL,United,6,51,-2.186518929255616,0.09224449235412673,5.67676700898655,-1.7172725815875414
UAL,United,33,24,2.3376282667277786,0.09481157476213095,12.167039775340937,1.7457218363908111
ALGT,Allegiant Air,44,13,-10.89309856106418,0.09559567736299912,23.1990946758886,-1.822840593428322
UAL,United,19,38,-2.407072578048318,0.09672285801800141,7.475518802642522,-1.705468059279272
AA,American,37,20,-5.0480262091343775,0.10437829729977624,13.97995216786967,-1.7103667905430233
UPS,United Parcel Service,46,11,-24.229081150802273,0.10513385083443993,26.503922218631114,-1.8015414024932195
DAL,Delta,12,45,-1.4911112080330033,0.10928905437912267,5.854880689882358,-1.6352883675790193
JBLU,JetBlue,18,39,-4.406370292428067,0.11038340477780455,6.743454087420842,-1.6356952843631707
JBLU,JetBlue,47,10,6.891032328933181,0.11610838457012886,27.956034473969126,1.7619110216475486
AA,American,5,52,-4.615505245362763,0.11610990152244968,4.865134421700001,-1.5990519370082545
DAL,Delta,33,24,-2.7277865312534146,0.12207552491960622,10.517898598012643,-1.6080803418794631
ALGT,Allegiant Air,23,34,-3.8345382439262043,0.12585250972452786,7.166452544256563,-1.571718013240125
SKYW,SkyWest,11,46,-1.7623585288863608,0.12587610357128548,5.242335175288715,-1.560204606370897
AA,American,10,47,-4.857200397891551,0.12596402430329387,5.125310989575649,-1.5591617981979153
UAL,United,13,44,2.108859174085947,0.132942282046118,5.294494269987782,1.5323193036992295
UPS,United Parcel Service,39,18,-12.980798074576562,0.13608169639285908,13.342551695383875,-1.5695548238862767
JBLU,JetBlue,13,44,3.8945229865829534,0.13611673869916885,5.211206694197957,1.5195510586809426
ALGT,Allegiant Air,22,35,-3.6573856720978934,0.13823217793006315,6.536801102226697,-1.519215157135487
UPS,United Parcel Service,20,37,2.787962611962422,0.14018845828113435,6.1110829600962475,1.509336056569777
SKYW,SkyWest,42,15,1.9481322700613997,0.14358921986478249,15.70875087400373,1.5565076424047521
ULCC,Frontier,10,44,-4.934221616073907,0.14653269902297006,4.952023669726735,-1.4792601700339392
UAL,United,10,47,1.9604769579179715,0.1467039313891728,4.62227129640842,1.4767619194807933
UAL,United,34,23,2.069262982168958,0.14886369630892052,9.660951312187061,1.4985865747834315
