symbol,source_name,lag,coefficient,r2,adj_r2,p_value,n_obs,significant
DAL,Delta,3,-0.6143764727228821,0.009401248973271326,-0.01123622500645216,0.5029528313630868,50,False
DAL,Delta,4,-0.2988918576595174,0.0023303276444124332,-0.01845445719632899,0.7392055843466435,50,False
DAL,Delta,5,-0.20350194107303243,0.0010885746637721017,-0.019722080030732725,0.820065515808511,50,False
DAL,Delta,6,0.08049274259779282,0.0001720887980947161,-0.020657659351944968,0.9279552263163892,50,False
DAL,Delta,7,0.8089205497209618,0.01732507710954323,-0.003147317117341064,0.36221121995851624,50,False
JBLU,JetBlue,0,-2.2455825281348445,0.018096010626303838,-0.002360322485648103,0.351649769860481,50,False
JBLU,JetBlue,1,-3.022834057580069,0.03274823966038398,0.012597161319975347,0.20851370608030165,50,False
JBLU,JetBlue,2,-0.9500756691697967,0.003260344338741672,-0.017505065154201027,0.6936818716079494,50,False
JBLU,JetBlue,3,-1.745040326046115,0.011050523490964137,-0.009552590602973865,0.4675096396124754,50,False
JBLU,JetBlue,4,-1.6812451520230116,0.010204677110878135,-0.010416058782644955,0.48515940833191484,50,False
JBLU,JetBlue,5,-2.3489286496880677,0.019906881875805915,-0.0005117247517814061,0.3284029573007532,50,False
JBLU,JetBlue,6,-2.2385583991618754,0.01811325084189863,-0.00234272309889505,0.3514183414624622,50,False
JBLU,JetBlue,7,-3.171249657514247,0.03566648194157773,0.015576200315360555,0.18901751755733714,50,False
LUV,Southwest,0,-1.2655833477778307,0.01247130832851906,-0.00810220608130341,0.4400501254586838,50,False
LUV,Southwest,1,-1.76148335996032,0.024967302115286638,0.0046541209093551306,0.2731027163937499,50,False
LUV,Southwest,2,-1.1104655310630704,0.010396048941775815,-0.01022070003860387,0.48107334006215163,50,False
LUV,Southwest,3,-1.6002387468087012,0.023204412902914306,0.0028545048383917804,0.2909362576916256,50,False
LUV,Southwest,4,0.9547242767777049,0.008750058525471949,-0.011900981921914244,0.5181955671588068,50,False
LUV,Southwest,5,-0.4611122344806581,0.002095770673784636,-0.018693900770511584,0.7522389046936937,50,False
LUV,Southwest,6,-1.1856123070529279,0.01412375094433349,-0.006415337577659441,0.4110690152522861,50,False
LUV,Southwest,7,-0.20563947783928305,0.00042681641898134615,-0.020397624905623246,0.8867599622010673,50,False
SKYW,SkyWest,0,0.008241865784611058,5.522957429171527e-07,-0.020832769531428985,0.9959132045407555,50,False
SKYW,SkyWest,1,2.160412934673093,0.039420339903156965,0.019408263651139457,0.16690267763270328,50,False
SKYW,SkyWest,2,0.9000192280799996,0.007142661609845002,-0.013541866273283132,0.5595321652255583,50,False
SKYW,SkyWest,3,-0.9424923370881862,0.008332473368268034,-0.012327266769893042,0.5283958510677497,50,False
SKYW,SkyWest,4,0.5518830189512932,0.004774469174102403,-0.015959396051437258,0.6335002776298689,50,False
SKYW,SkyWest,5,-0.8912985301720903,0.012395287841446834,-0.008179810328522885,0.44145596323872116,50,False
SKYW,SkyWest,6,-0.6779993743595394,0.007246626706154391,-0.013435735237466995,0.5566776660361885,50,False
SKYW,SkyWest,7,-0.5867892084453654,0.005601850978045997,-0.015114777126577827,0.6054512678154962,50,False
UAL,United,0,0.14958887044378325,0.0002087583757004463,-0.020620225824805827,0.9206720613545573,50,False
UAL,United,1,-1.3849939521044379,0.018033349329387716,-0.0024242892262500426,0.3524926381495548,50,False
UAL,United,2,-1.114521421323171,0.011731487349577852,-0.008857439997305816,0.4540278744841416,50,False
