query,company,cik,form,filed,file_num,accession
"""US Global Jets""",Ayalon Holdings Ltd.  (CIK 0001642216),0001642216,13F-HR,2021-04-28,['028-16935'],0001178913-21-001504
"""US Global Jets""","TFO-TDC, LLC  (CIK 0001698750)",0001698750,13F-HR,2021-04-22,['028-19687'],0001698750-21-000002
"""US Global Jets""",JAMES INVESTMENT RESEARCH INC  (CIK 0000810384),0000810384,13F-HR,2021-04-22,['028-01895'],0000810384-21-000003
"""JETS""",SEARCY FINANCIAL SERVICES INC /ADV  (CIK 0000354923),0000354923,13F-HR,2021-04-14,['028-19026'],0000354923-21-000004
"""U S Global Jets""","Flagship Private Wealth, LLC  (CIK 0001842560)",0001842560,13F-HR,2021-04-09,['028-20523'],0001842560-21-000002
"""JETS""","Darwin Advisors, LLC  (CIK 0001663224)",0001663224,13F-HR,2021-02-16,['028-17491'],0001606587-21-000331
"""JETS""",UNITED MARITIME CAPITAL LLC  (CIK 0001669362),0001669362,13F-HR,2021-02-16,['028-20979'],0001669362-21-000002
"""US Global Jets""","PEDDOCK CAPITAL ADVISORS, LLC  (CIK 0001597843)",0001597843,13F-HR,2021-02-12,['028-15711'],0001597843-21-000001
"""US Global Jets""",Ally Financial Inc.  (ALLY)  (CIK 0000040729),0000040729,13F-HR,2021-02-12,['028-14534'],0000040729-21-000004
"""US Global Jets""",Patriot Investment Management Inc.  (CIK 0001773830),0001773830,13F-HR,2021-02-09,['028-19483'],0001606587-21-000254
"""US Global Jets""",BAROMETER CAPITAL MANAGEMENT INC.  (CIK 0001536890),0001536890,13F-HR,2021-02-09,['028-15883'],0001104659-21-016690
"""US Global Jets""",Ninety One UK Ltd  (CIK 0001418329),0001418329,13F-HR,2021-02-05,['028-12634'],0001567619-21-002245
"""US Global Jets""",Ninety One SA (PTY) Ltd  (CIK 0001491998),0001491998,13F-HR,2021-02-05,['028-16966'],0001567619-21-002243
"""JETS""","Ameraudi Asset Management, Inc.  (CIK 0001772954)",0001772954,13F-HR,2021-02-04,['028-19959'],0001606587-21-000185
"""U S Global Jets""","Flagship Private Wealth, LLC  (CIK 0001842560)",0001842560,13F-HR,2021-02-02,['028-20523'],0001842560-21-000001
"""US Global Jets""",Ayalon Holdings Ltd.  (CIK 0001642216),0001642216,13F-HR,2021-01-25,['028-16935'],0001178913-21-000223
"""JETS""",XR Securities LLC  (CIK 0001531971),0001531971,13F-HR,2021-01-13,['028-18190'],0001531971-21-000002
"""US Global Jets""",Patriot Investment Management Inc.  (CIK 0001773830),0001773830,13F-HR,2020-10-23,['028-19483'],0001606587-20-001108
"""JETS""","Yost Capital Management, LP  (CIK 0001489859)",0001489859,13F-HR,2020-08-13,['028-16652'],0001085146-20-002191
"""JETS""","Waterloo Capital, L.P.  (CIK 0001730942)",0001730942,13F-HR,2020-06-01,['028-20294'],0001104659-20-068235
"""U S Global Jets""","Highlander Capital Management, LLC  (CIK 0001519113)",0001519113,13F-HR,2020-05-27,['028-14486'],0001519113-20-000002
"""JETS""",Avitas Wealth Management LLC  (CIK 0001734565),0001734565,13F-HR,2020-05-13,['028-18873'],0001734565-20-000003
"""US Global Jets""",Patriot Investment Management Inc.  (CIK 0001773830),0001773830,13F-HR,2020-05-06,['028-19483'],0001606587-20-000591
"""U S Global Jets""","Highlander Capital Management, LLC  (CIK 0001519113)",0001519113,13F-HR,2020-02-13,['028-14486'],0001519113-20-000001
"""US Global Jets""",Patriot Investment Management Inc.  (CIK 0001773830),0001773830,13F-HR,2020-02-10,['028-19483'],0001606587-20-000237
"""JETS""","WESCAP Management Group, Inc.  (CIK 0001667140)",0001667140,13F-HR,2020-02-05,['028-17387'],0001606587-20-000183
"""U S Global Jets""","Hudock Capital Group, LLC  (CIK 0001543536)",0001543536,13F-HR,2020-01-21,['028-15331'],0001606587-20-000075
"""US Global Jets""",BURNS J W & CO INC/NY  (CIK 0001047339),0001047339,13F-HR,2020-01-07,['028-06542'],0001047339-20-000001
