name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
SkyWest Inc,SKYW,830879102,240403.0,24754296.91,3.039717349,US,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Southwest Airlines Co,LUV,844741108,2657069.0,86195318.36,10.5844009861,US,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Sun Country Airlines Holdings,SNCY,866683105,2076107.0,24394257.25,2.9955060832,US,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Textron Inc,TXT,883203101,212794.0,17085230.26,2.0979901397,US,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Trip.com Group Ltd,TCOM,89677Q107,134738.0,7901036.32,0.970212051,SG,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
TripAdvisor Inc,TRIP,896945201,1163738.0,15186780.9,1.8648690183,US,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
"Mount Vernon Liquid Assets Portfolio, LLC",,N/A,113047941.25,113047941.25,13.8817834148,US,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Turk Hava Yollari AO,THYAO,N/A,1119391.0,7969997.01,0.9786801165,TR,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Japan Airlines Co Ltd,9201,N/A,206623.0,4220558.69,0.5182657992,JP,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Pegasus Hava Tasimaciligi AS,PGSUS,N/A,608160.78,3925317.74,0.4820115262,TR,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Tongcheng Travel Holdings Ltd,780,G8918W106,1525819.0,3805825.01,0.4673383515,CN,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Flughafen Zurich AG,FHZN,N/A,15350.0,4372172.16,0.5368832577,CH,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
MakeMyTrip Ltd,MMYT,N/A,42204.0,4136836.08,0.5079850358,IN,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
United Airlines Holdings Inc,UAL,910047109,1102816.0,87817238.08,10.7835655,US,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Embraer SA,ERJ,29082A107,175040.0,9961526.4,1.2232310508,BR,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Expedia Group Inc,EXPE,30212P303,95298.0,16074866.64,1.9739219897,US,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Alaska Air Group Inc,ALK,011659109,479052.0,23703492.96,2.9106833066,US,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Allegiant Travel Co,ALGT,01748X102,430153.0,23636907.35,2.9025068904,US,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
American Airlines Group Inc,AAL,02376R102,7718224.0,86598473.28,10.6339066137,US,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Boeing Co/The,BA,097023105,77873.0,16316729.69,2.0036216944,US,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Booking Holdings Inc,BKNG,09857L108,3018.0,17471926.32,2.1454746927,US,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Delta Air Lines Inc,DAL,247361702,1766167.0,86860093.06,10.6660323569,US,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Airbus SE,AIR,N/A,44409.0,9272777.9,1.1386558042,FR,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Deutsche Lufthansa AG,LHA,N/A,483722.0,4091178.26,0.502378459,DE,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
ANA Holdings Inc,9202,N/A,201494.0,3949285.2,0.4849546235,JP,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Cathay Pacific Airways Ltd,293,N/A,3190612.0,4349014.76,0.5340396322,HK,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
El Al Israel Airlines,ELAL,N/A,1015049.0,3977866.22,0.4884642454,IL,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Air China Ltd,753,N/A,5407237.0,4105393.35,0.5041240087,CN,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Amadeus IT Group SA,AMS,N/A,95362.0,8029490.96,0.9859857084,ES,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
easyJet PLC,EZJ,N/A,521418.0,3809074.01,0.4677373142,GB,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
